iter	Logloss
0	0.6905258293
1	0.6878619523
2	0.6854123482
3	0.6833326415
4	0.6816488569
5	0.6793584469
6	0.6766724668
7	0.6745198274
8	0.6721300906
9	0.6690206143
10	0.6664209948
11	0.6644283584
12	0.6624521255
13	0.6596025667
14	0.6574940701
15	0.6557685233
16	0.65325606
17	0.6517095998
18	0.6497203035
19	0.6482516517
20	0.6457050614
21	0.6438323687
22	0.6420231626
23	0.6406224804
24	0.63895356
25	0.6371490803
26	0.6356282668
27	0.6340393983
28	0.6328270693
29	0.6319499416
30	0.6308474825
31	0.6295003103
32	0.6280419855
33	0.6263905531
34	0.6251771695
35	0.6234338821
36	0.6218532659
37	0.6204869499
38	0.6190113468
39	0.6176892989
40	0.6163387794
41	0.6152281486
42	0.6142925499
43	0.61277539
44	0.6118033606
45	0.6102192609
46	0.6092538968
47	0.6082875802
48	0.6072593707
49	0.6060577034
50	0.6054093193
51	0.6040898138
52	0.6032193641
53	0.6020620003
54	0.6010374679
55	0.5998163982
56	0.5988650409
57	0.5976056399
58	0.5965179103
59	0.5952951508
60	0.5944775683
61	0.5936148798
62	0.5928057379
63	0.5918644026
64	0.5902499265
65	0.5893756165
66	0.5881653664
67	0.5873019093
68	0.5862839232
69	0.585529888
70	0.5846579776
71	0.5833198409
72	0.5824260081
73	0.581688251
74	0.580832235
75	0.5802432546
76	0.5791331167
77	0.5782394762
78	0.5775212472
79	0.5765871105
80	0.5757452317
81	0.5747422702
82	0.573957948
83	0.5733060129
84	0.5725184279
85	0.5714674176
86	0.570640504
87	0.5703124456
88	0.5698072279
89	0.5690181169
90	0.5680143142
91	0.5675461146
92	0.5668466704
93	0.5662337807
94	0.565500881
95	0.5646299894
96	0.5641779278
97	0.5634674575
98	0.5624153041
99	0.5616991242
100	0.5610194117
101	0.5602607529
102	0.5594679593
103	0.5589923702
104	0.5584108171
105	0.5576519022
106	0.5568869736
107	0.556239231
108	0.5555668776
109	0.5545693512
110	0.5539768895
111	0.5534107828
112	0.5528145418
113	0.5521522719
114	0.5515338061
115	0.5505445645
116	0.5500542217
117	0.5496241156
118	0.5492055163
119	0.5488540504
120	0.5482852994
121	0.5473979215
122	0.5468172305
123	0.5463684791
124	0.5457888158
125	0.5454104474
126	0.5448780937
127	0.5444404498
128	0.5439203401
129	0.5435131314
130	0.5429904741
131	0.5425607354
132	0.5421578687
133	0.541670326
134	0.5411277847
135	0.5407350709
136	0.5402543771
137	0.5397219111
138	0.5393009434
139	0.5389502598
140	0.5385581764
141	0.5382321177
142	0.5378610484
143	0.5375817007
144	0.5370885197
145	0.5364244525
146	0.5359674687
147	0.5355673094
148	0.5351881783
149	0.5348781655
150	0.5344914512
151	0.5340028936
152	0.5334026207
153	0.5329064391
154	0.5325933417
155	0.5322503727
156	0.5317925466
157	0.5313480088
158	0.5310028053
159	0.5305434975
160	0.5302595973
161	0.5299107188
162	0.5295138551
163	0.5290683459
164	0.5286152713
165	0.5282553968
166	0.5278194444
167	0.5275483494
168	0.5269425327
169	0.5264894124
170	0.526128507
171	0.5257539026
172	0.5253343448
173	0.5247622013
174	0.5244364552
175	0.5241175616
176	0.523729983
177	0.5233005643
178	0.5228656189
179	0.5224956694
180	0.5222533277
181	0.5219663809
182	0.5215246036
183	0.5211651327
184	0.520740617
185	0.5202737626
186	0.5198213978
187	0.5193332476
188	0.5189975956
189	0.5187946332
190	0.5185297844
191	0.5181640445
192	0.5179338858
193	0.5175420216
194	0.5171448921
195	0.5167916846
196	0.5163885955
197	0.5161188565
198	0.5158022325
199	0.5155091251
200	0.5152170755
201	0.5148739406
202	0.5146302853
203	0.5143806513
204	0.5140533641
205	0.5137161542
206	0.5134675311
207	0.5130517882
208	0.5127405916
209	0.5124192631
210	0.5118286876
211	0.5115154616
212	0.5110374647
213	0.5107150909
214	0.5102927801
215	0.509885318
216	0.5096830401
217	0.5093422587
218	0.5090448767
219	0.5086545953
220	0.5082971525
221	0.5080412173
222	0.5076035296
223	0.507330275
224	0.5070377202
225	0.506441673
226	0.506116102
227	0.5058337207
228	0.5056862064
229	0.5052648453
230	0.5050618162
231	0.5047227591
232	0.5044513932
233	0.5040617916
234	0.5037280327
235	0.5034583074
236	0.5032127299
237	0.5029394583
238	0.5026808593
239	0.502056481
240	0.5017608399
241	0.5012964994
242	0.5010071922
243	0.5007352765
244	0.500397187
245	0.5001486352
246	0.4997208282
247	0.4994006527
248	0.4991026504
249	0.4989101426
250	0.4986365737
251	0.4984060645
252	0.4980235351
253	0.4977813055
254	0.4973650085
255	0.497103681
256	0.4969607739
257	0.4966866674
