iter	Passed	Remaining
0	147	73492
1	151	37809
2	157	26038
3	162	20160
4	168	16657
5	174	14397
6	181	12760
7	186	11495
8	193	10547
9	199	9776
10	206	9190
11	213	8683
12	219	8233
13	226	7854
14	232	7531
15	239	7249
16	246	7008
17	252	6773
18	257	6519
19	263	6324
20	271	6182
21	277	6029
22	283	5889
23	290	5769
24	297	5654
25	303	5540
26	310	5444
27	317	5348
28	323	5255
29	330	5180
30	341	5162
31	347	5084
32	369	5233
33	375	5152
34	383	5097
35	391	5044
36	397	4976
37	404	4916
38	410	4852
39	417	4806
40	424	4756
41	431	4704
42	437	4651
43	444	4604
44	460	4652
45	466	4608
46	475	4580
47	482	4540
48	488	4494
49	494	4451
50	501	4410
51	507	4369
52	513	4333
53	519	4293
54	526	4260
55	533	4231
56	540	4198
57	547	4172
58	555	4155
59	563	4130
60	570	4102
61	576	4075
62	583	4046
63	590	4022
64	597	3997
65	611	4019
66	617	3990
67	623	3962
68	629	3934
69	636	3907
70	643	3887
71	649	3863
72	656	3838
73	669	3854
74	675	3830
75	683	3811
76	689	3790
77	696	3769
78	702	3744
79	709	3722
80	715	3702
81	722	3684
82	729	3663
83	747	3700
84	753	3676
85	759	3654
86	765	3633
87	771	3613
88	778	3595
89	784	3575
90	790	3554
91	797	3535
92	804	3521
93	810	3502
94	816	3482
95	822	3463
96	829	3445
97	836	3429
98	842	3412
99	849	3397
100	868	3429
101	873	3408
102	880	3393
103	888	3382
104	894	3365
105	910	3386
106	917	3370
107	940	3412
108	944	3389
109	951	3373
110	957	3355
111	964	3339
112	970	3322
113	976	3305
114	985	3298
115	992	3284
116	999	3271
117	1007	3260
118	1015	3250
119	1023	3241
120	1031	3231
121	1038	3218
122	1046	3206
123	1053	3195
124	1061	3185
125	1068	3171
126	1075	3158
127	1082	3147
128	1089	3133
129	1094	3113
130	1100	3098
131	1108	3091
132	1117	3083
133	1127	3078
134	1134	3066
135	1147	3070
136	1153	3056
137	1160	3043
138	1166	3029
139	1172	3015
140	1178	3001
141	1185	2987
142	1192	2976
143	1198	2963
144	1205	2950
145	1211	2937
146	1218	2926
147	1238	2945
148	1244	2931
149	1249	2914
150	1256	2903
151	1262	2890
152	1268	2877
153	1274	2864
154	1281	2851
155	1287	2839
156	1293	2826
157	1300	2814
158	1306	2801
159	1312	2789
160	1318	2776
161	1325	2764
162	1331	2752
163	1337	2739
164	1343	2727
165	1349	2714
166	1355	2702
167	1361	2691
168	1368	2680
169	1375	2669
170	1381	2658
171	1387	2646
172	1394	2635
173	1401	2625
174	1407	2613
175	1413	2602
176	1419	2590
177	1426	2579
178	1432	2569
179	1438	2557
180	1445	2546
181	1451	2535
182	1457	2525
183	1464	2515
184	1470	2503
185	1476	2492
186	1482	2481
187	1488	2470
188	1494	2459
189	1500	2447
190	1508	2440
191	1515	2431
192	1522	2421
193	1529	2412
194	1535	2402
195	1542	2391
196	1548	2381
197	1554	2370
198	1560	2360
199	1566	2349
200	1571	2338
201	1578	2328
202	1584	2317
203	1590	2307
204	1597	2298
205	1603	2288
206	1609	2278
207	1616	2268
208	1622	2259
209	1629	2249
210	1633	2237
211	1638	2226
212	1645	2217
213	1651	2207
214	1658	2197
215	1664	2188
216	1670	2178
217	1677	2170
218	1684	2160
219	1690	2151
220	1696	2141
221	1702	2132
222	1709	2123
223	1715	2114
224	1724	2107
225	1730	2098
226	1737	2089
227	1743	2080
228	1749	2070
229	1757	2062
230	1763	2053
231	1769	2044
232	1776	2036
233	1783	2027
234	1790	2018
235	1796	2009
236	1803	2001
237	1809	1992
238	1816	1983
239	1822	1974
240	1829	1965
241	1835	1956
242	1841	1947
243	1848	1939
244	1854	1930
245	1861	1921
246	1867	1912
247	1873	1903
248	1879	1894
249	1886	1886
250	1892	1877
251	1898	1868
252	1904	1859
253	1912	1852
254	1918	1842
255	1924	1833
256	1930	1825
257	1936	1816
258	1942	1807
259	1948	1798
260	1954	1789
261	1960	1781
262	1967	1772
263	1973	1764
264	1979	1755
265	1985	1746
266	1992	1739
267	1999	1730
268	2005	1722
269	2011	1713
270	2017	1705
271	2024	1696
272	2030	1688
273	2036	1679
274	2042	1671
275	2048	1662
276	2055	1654
277	2061	1646
278	2067	1637
279	2073	1629
280	2080	1621
281	2086	1612
282	2092	1604
283	2098	1595
284	2104	1587
285	2111	1579
286	2118	1572
287	2125	1564
288	2147	1567
289	2161	1565
290	2174	1561
291	2183	1555
292	2194	1550
293	2204	1544
294	2211	1536
295	2218	1529
296	2228	1523
297	2241	1519
298	2248	1511
299	2255	1503
300	2261	1495
301	2268	1487
302	2274	1479
303	2282	1471
304	2305	1473
305	2310	1464
306	2317	1456
307	2323	1448
308	2330	1440
309	2337	1432
310	2343	1424
311	2351	1417
312	2358	1408
313	2365	1401
314	2372	1393
315	2379	1385
316	2385	1377
317	2392	1369
318	2399	1361
319	2405	1353
320	2412	1345
321	2418	1337
322	2424	1328
323	2431	1320
324	2436	1312
325	2443	1304
326	2449	1295
327	2455	1287
328	2462	1279
329	2468	1271
330	2474	1263
331	2481	1255
332	2487	1247
333	2498	1242
334	2504	1233
335	2510	1225
336	2516	1217
337	2523	1209
338	2529	1201
339	2535	1193
340	2542	1185
341	2549	1177
342	2556	1170
343	2562	1162
344	2568	1153
345	2574	1145
346	2580	1137
347	2587	1129
348	2593	1122
349	2599	1114
350	2606	1106
351	2612	1098
352	2620	1091
353	2626	1083
354	2634	1075
355	2641	1068
356	2647	1060
357	2655	1053
358	2661	1045
359	2668	1037
360	2675	1030
361	2694	1027
362	2700	1019
363	2707	1011
364	2714	1003
365	2721	996
366	2727	988
367	2734	980
368	2741	973
369	2746	965
370	2755	958
371	2762	950
372	2769	942
373	2775	934
374	2782	927
375	2788	919
376	2795	912
377	2802	904
378	2808	896
379	2815	889
380	2822	881
381	2829	873
382	2835	866
383	2841	858
384	2848	850
385	2855	843
386	2862	835
387	2869	828
388	2875	820
389	2882	813
390	2888	805
391	2896	797
392	2902	790
393	2909	782
394	2916	775
395	2923	767
396	2930	760
397	2938	753
398	2946	745
399	2952	738
400	2959	730
401	2966	723
402	2973	715
403	2979	708
404	2986	700
405	2992	692
406	2999	685
407	3007	678
408	3014	670
409	3021	663
410	3028	655
411	3034	648
412	3042	640
413	3048	633
414	3056	625
415	3062	618
416	3070	611
417	3086	605
418	3092	597
419	3099	590
420	3105	582
421	3111	575
422	3118	567
423	3126	560
424	3133	553
425	3169	550
426	3175	542
427	3181	535
428	3186	527
429	3192	519
430	3198	512
431	3204	504
432	3211	496
433	3217	489
434	3229	482
435	3234	474
436	3240	467
437	3247	459
438	3252	451
439	3259	444
440	3265	436
441	3271	429
442	3277	421
443	3283	414
444	3290	406
445	3296	399
446	3303	391
447	3310	384
448	3317	376
449	3324	369
450	3331	361
451	3338	354
452	3345	347
453	3353	339
454	3360	332
455	3367	324
456	3377	317
457	3383	310
458	3390	302
459	3396	295
460	3406	288
461	3412	280
462	3419	273
463	3425	265
464	3433	258
465	3441	251
466	3449	243
467	3456	236
468	3466	229
469	3472	221
470	3479	214
471	3485	206
472	3492	199
473	3499	191
474	3505	184
475	3512	177
476	3519	169
477	3525	162
478	3532	154
479	3539	147
480	3546	140
481	3553	132
482	3561	125
483	3568	117
484	3575	110
485	3582	103
486	3589	95
487	3597	88
488	3604	81
489	3612	73
490	3620	66
491	3626	58
492	3633	51
493	3639	44
494	3645	36
495	3652	29
496	3657	22
497	3664	14
498	3670	7
499	3678	0
